Events for energy 112.946271 GeV:
Cross section pb: 0.3197802059906339
Total number of events: 998384

pid = 22, p = (-0.5506559167459903, -0.08091900543990274, 8.697264679981945, 8.715054947488868), Parent_PIDs = (111, 90), theta = 0.06390650662171166, phi = 3.2874986003374547
pid = 22, p = (-0.2255519376101568, 0.18389167861167263, 0.21618606752436365, 0.36252757386709644), Parent_PIDs = (111, 90), theta = 0.9318748711332633, phi = 2.4575939936804105
pid = 22, p = (0.012273494805362807, 0.030263124222752666, -0.0003096590097910676, 0.03265870865728392), Parent_PIDs = (111, 90), theta = 1.580278136166372, phi = 1.1855065613212377

pid = -11, p = (0.8516065697595889, -0.3420786292186483, 32.439966122838804, 32.45294522613126), Parent_PIDs = (-11, 90), theta = 0.028282949087778925, phi = 5.9012261325489455
pid = 13, p = (-0.06313976918390315, -0.06093226652897347, 2.1454074314946174, 2.1497991660313955), Parent_PIDs = (13, 13), theta = 0.040876704538422674, phi = 3.909200589305861
pid = -13, p = (-0.0521207667659273, 1.07334569296598, 14.63367393840486, 14.673457824319613), Parent_PIDs = (-13, -13), theta = 0.07330250853756484, phi = 1.6193173747508036
pid = 22, p = (0.299054477655539, -0.11584339365130777, 6.036481391265348, 6.044994694749642), Parent_PIDs = (22, 22), theta = 0.05307830866022099, phi = 5.9136179457453375
pid = 22, p = (8.897768323164143e-05, -3.613574606398176e-05, 0.0017717939309505424, 0.001774394700738831), Parent_PIDs = (22, 22), theta = 0.05414943109995651, phi = 5.897412979169311
pid = -211, p = (0.5523429685269682, -0.4660551770141411, 17.902917714042122, 17.91804209849854), Parent_PIDs = (1, -2), theta = 0.04034561896536311, phi = 5.582314192756052
pid = 2212, p = (-0.47802421744319024, -0.21651462146694805, 1.015780098594179, 1.4790353394598594), Parent_PIDs = (2214, 90), theta = 0.47685484907524595, phi = 3.5668858997198445
pid = 22, p = (-0.3458738806815223, -0.005121266734419955, 7.1369394217590205, 7.1453172972631975), Parent_PIDs = (111, 90), theta = 0.04842990674962949, phi = 3.1563983177580193
pid = 22, p = (-0.5506559167459903, -0.08091900543990274, 8.697264679981945, 8.715054947488868), Parent_PIDs = (111, 90), theta = 0.06390650662171166, phi = 3.2874986003374547
pid = 22, p = (-0.2255519376101568, 0.18389167861167263, 0.21618606752436365, 0.36252757386709644), Parent_PIDs = (111, 90), theta = 0.9318748711332633, phi = 2.4575939936804105
pid = 22, p = (0.012273494805362807, 0.030263124222752666, -0.0003096590097910676, 0.03265870865728392), Parent_PIDs = (111, 90), theta = 1.580278136166372, phi = 1.1855065613212377

pid = -11, p = (0.8516065697595889, -0.3420786292186483, 32.439966122838804, 32.45294522613126), Parent_PIDs = (-11, 90), theta = 0.028282949087778925, phi = 5.9012261325489455
pid = 13, p = (-0.06313976918390315, -0.06093226652897347, 2.1454074314946174, 2.1497991660313955), Parent_PIDs = (13, 13), theta = 0.040876704538422674, phi = 3.909200589305861
pid = -13, p = (-0.0521207667659273, 1.07334569296598, 14.63367393840486, 14.673457824319613), Parent_PIDs = (-13, -13), theta = 0.07330250853756484, phi = 1.6193173747508036
pid = 22, p = (0.299054477655539, -0.11584339365130777, 6.036481391265348, 6.044994694749642), Parent_PIDs = (22, 22), theta = 0.05307830866022099, phi = 5.9136179457453375
pid = 22, p = (8.897768323164143e-05, -3.613574606398176e-05, 0.0017717939309505424, 0.001774394700738831), Parent_PIDs = (22, 22), theta = 0.05414943109995651, phi = 5.897412979169311
pid = -211, p = (0.5523429685269682, -0.4660551770141411, 17.902917714042122, 17.91804209849854), Parent_PIDs = (1, -2), theta = 0.04034561896536311, phi = 5.582314192756052
pid = 2212, p = (-0.47802421744319024, -0.21651462146694805, 1.015780098594179, 1.4790353394598594), Parent_PIDs = (2214, 90), theta = 0.47685484907524595, phi = 3.5668858997198445
pid = 22, p = (-0.3458738806815223, -0.005121266734419955, 7.1369394217590205, 7.1453172972631975), Parent_PIDs = (111, 90), theta = 0.04842990674962949, phi = 3.1563983177580193
pid = 22, p = (-0.5506559167459903, -0.08091900543990274, 8.697264679981945, 8.715054947488868), Parent_PIDs = (111, 90), theta = 0.06390650662171166, phi = 3.2874986003374547
pid = 22, p = (-0.2255519376101568, 0.18389167861167263, 0.21618606752436365, 0.36252757386709644), Parent_PIDs = (111, 90), theta = 0.9318748711332633, phi = 2.4575939936804105
pid = 22, p = (0.012273494805362807, 0.030263124222752666, -0.0003096590097910676, 0.03265870865728392), Parent_PIDs = (111, 90), theta = 1.580278136166372, phi = 1.1855065613212377

pid = -11, p = (0.8516065697595889, -0.3420786292186483, 32.439966122838804, 32.45294522613126), Parent_PIDs = (-11, 90), theta = 0.028282949087778925, phi = 5.9012261325489455
pid = 13, p = (-0.06313976918390315, -0.06093226652897347, 2.1454074314946174, 2.1497991660313955), Parent_PIDs = (13, 13), theta = 0.040876704538422674, phi = 3.909200589305861
pid = -13, p = (-0.0521207667659273, 1.07334569296598, 14.63367393840486, 14.673457824319613), Parent_PIDs = (-13, -13), theta = 0.07330250853756484, phi = 1.6193173747508036
pid = 22, p = (0.299054477655539, -0.11584339365130777, 6.036481391265348, 6.044994694749642), Parent_PIDs = (22, 22), theta = 0.05307830866022099, phi = 5.9136179457453375
pid = 22, p = (8.897768323164143e-05, -3.613574606398176e-05, 0.0017717939309505424, 0.001774394700738831), Parent_PIDs = (22, 22), theta = 0.05414943109995651, phi = 5.897412979169311
pid = -211, p = (0.5523429685269682, -0.4660551770141411, 17.902917714042122, 17.91804209849854), Parent_PIDs = (1, -2), theta = 0.04034561896536311, phi = 5.582314192756052
pid = 2212, p = (-0.47802421744319024, -0.21651462146694805, 1.015780098594179, 1.4790353394598594), Parent_PIDs = (2214, 90), theta = 0.47685484907524595, phi = 3.5668858997198445
pid = 22, p = (-0.3458738806815223, -0.005121266734419955, 7.1369394217590205, 7.1453172972631975), Parent_PIDs = (111, 90), theta = 0.04842990674962949, phi = 3.1563983177580193
pid = 22, p = (-0.5506559167459903, -0.08091900543990274, 8.697264679981945, 8.715054947488868), Parent_PIDs = (111, 90), theta = 0.06390650662171166, phi = 3.2874986003374547
pid = 22, p = (-0.2255519376101568, 0.18389167861167263, 0.21618606752436365, 0.36252757386709644), Parent_PIDs = (111, 90), theta = 0.9318748711332633, phi = 2.4575939936804105
pid = 22, p = (0.012273494805362807, 0.030263124222752666, -0.0003096590097910676, 0.03265870865728392), Parent_PIDs = (111, 90), theta = 1.580278136166372, phi = 1.1855065613212377

pid = -11, p = (0.8516065697595889, -0.3420786292186483, 32.439966122838804, 32.45294522613126), Parent_PIDs = (-11, 90), theta = 0.028282949087778925, phi = 5.9012261325489455
pid = 13, p = (-0.06313976918390315, -0.06093226652897347, 2.1454074314946174, 2.1497991660313955), Parent_PIDs = (13, 13), theta = 0.040876704538422674, phi = 3.909200589305861
pid = -13, p = (-0.0521207667659273, 1.07334569296598, 14.63367393840486, 14.673457824319613), Parent_PIDs = (-13, -13), theta = 0.07330250853756484, phi = 1.6193173747508036
pid = 22, p = (0.299054477655539, -0.11584339365130777, 6.036481391265348, 6.044994694749642), Parent_PIDs = (22, 22), theta = 0.05307830866022099, phi = 5.9136179457453375
pid = 22, p = (8.897768323164143e-05, -3.613574606398176e-05, 0.0017717939309505424, 0.001774394700738831), Parent_PIDs = (22, 22), theta = 0.05414943109995651, phi = 5.897412979169311
pid = -211, p = (0.5523429685269682, -0.4660551770141411, 17.902917714042122, 17.91804209849854), Parent_PIDs = (1, -2), theta = 0.04034561896536311, phi = 5.582314192756052
pid = 2212, p = (-0.47802421744319024, -0.21651462146694805, 1.015780098594179, 1.4790353394598594), Parent_PIDs = (2214, 90), theta = 0.47685484907524595, phi = 3.5668858997198445
pid = 22, p = (-0.3458738806815223, -0.005121266734419955, 7.1369394217590205, 7.1453172972631975), Parent_PIDs = (111, 90), theta = 0.04842990674962949, phi = 3.1563983177580193
pid = 22, p = (-0.5506559167459903, -0.08091900543990274, 8.697264679981945, 8.715054947488868), Parent_PIDs = (111, 90), theta = 0.06390650662171166, phi = 3.2874986003374547
pid = 22, p = (-0.2255519376101568, 0.18389167861167263, 0.21618606752436365, 0.36252757386709644), Parent_PIDs = (111, 90), theta = 0.9318748711332633, phi = 2.4575939936804105
pid = 22, p = (0.012273494805362807, 0.030263124222752666, -0.0003096590097910676, 0.03265870865728392), Parent_PIDs = (111, 90), theta = 1.580278136166372, phi = 1.1855065613212377

pid = -11, p = (0.8516065697595889, -0.3420786292186483, 32.439966122838804, 32.45294522613126), Parent_PIDs = (-11, 90), theta = 0.028282949087778925, phi = 5.9012261325489455
pid = 13, p = (-0.06313976918390315, -0.06093226652897347, 2.1454074314946174, 2.1497991660313955), Parent_PIDs = (13, 13), theta = 0.040876704538422674, phi = 3.909200589305861
pid = -13, p = (-0.0521207667659273, 1.07334569296598, 14.63367393840486, 14.673457824319613), Parent_PIDs = (-13, -13), theta = 0.07330250853756484, phi = 1.6193173747508036
pid = 22, p = (0.299054477655539, -0.11584339365130777, 6.036481391265348, 6.044994694749642), Parent_PIDs = (22, 22), theta = 0.05307830866022099, phi = 5.9136179457453375
pid = 22, p = (8.897768323164143e-05, -3.613574606398176e-05, 0.0017717939309505424, 0.001774394700738831), Parent_PIDs = (22, 22), theta = 0.05414943109995651, phi = 5.897412979169311
pid = -211, p = (0.5523429685269682, -0.4660551770141411, 17.902917714042122, 17.91804209849854), Parent_PIDs = (1, -2), theta = 0.04034561896536311, phi = 5.582314192756052
pid = 2212, p = (-0.47802421744319024, -0.21651462146694805, 1.015780098594179, 1.4790353394598594), Parent_PIDs = (2214, 90), theta = 0.47685484907524595, phi = 3.5668858997198445
pid = 22, p = (-0.3458738806815223, -0.005121266734419955, 7.1369394217590205, 7.1453172972631975), Parent_PIDs = (111, 90), theta = 0.04842990674962949, phi = 3.1563983177580193
pid = 22, p = (-0.5506559167459903, -0.08091900543990274, 8.697264679981945, 8.715054947488868), Parent_PIDs = (111, 90), theta = 0.06390650662171166, phi = 3.2874986003374547
pid = 22, p = (-0.2255519376101568, 0.18389167861167263, 0.21618606752436365, 0.36252757386709644), Parent_PIDs = (111, 90), theta = 0.9318748711332633, phi = 2.4575939936804105
pid = 22, p = (0.012273494805362807, 0.030263124222752666, -0.0003096590097910676, 0.03265870865728392), Parent_PIDs = (111, 90), theta = 1.580278136166372, phi = 1.1855065613212377

pid = -11, p = (0.8516065697595889, -0.3420786292186483, 32.439966122838804, 32.45294522613126), Parent_PIDs = (-11, 90), theta = 0.028282949087778925, phi = 5.9012261325489455
pid = 13, p = (-0.06313976918390315, -0.06093226652897347, 2.1454074314946174, 2.1497991660313955), Parent_PIDs = (13, 13), theta = 0.040876704538422674, phi = 3.909200589305861
pid = -13, p = (-0.0521207667659273, 1.07334569296598, 14.63367393840486, 14.673457824319613), Parent_PIDs = (-13, -13), theta = 0.07330250853756484, phi = 1.6193173747508036
pid = 22, p = (0.299054477655539, -0.11584339365130777, 6.036481391265348, 6.044994694749642), Parent_PIDs = (22, 22), theta = 0.05307830866022099, phi = 5.9136179457453375
pid = 22, p = (8.897768323164143e-05, -3.613574606398176e-05, 0.0017717939309505424, 0.001774394700738831), Parent_PIDs = (22, 22), theta = 0.05414943109995651, phi = 5.897412979169311
pid = -211, p = (0.5523429685269682, -0.4660551770141411, 17.902917714042122, 17.91804209849854), Parent_PIDs = (1, -2), theta = 0.04034561896536311, phi = 5.582314192756052
pid = 2212, p = (-0.47802421744319024, -0.21651462146694805, 1.015780098594179, 1.4790353394598594), Parent_PIDs = (2214, 90), theta = 0.47685484907524595, phi = 3.5668858997198445
pid = 22, p = (-0.3458738806815223, -0.005121266734419955, 7.1369394217590205, 7.1453172972631975), Parent_PIDs = (111, 90), theta = 0.04842990674962949, phi = 3.1563983177580193
pid = 22, p = (-0.5506559167459903, -0.08091900543990274, 8.697264679981945, 8.715054947488868), Parent_PIDs = (111, 90), theta = 0.06390650662171166, phi = 3.2874986003374547
pid = 22, p = (-0.2255519376101568, 0.18389167861167263, 0.21618606752436365, 0.36252757386709644), Parent_PIDs = (111, 90), theta = 0.9318748711332633, phi = 2.4575939936804105
pid = 22, p = (0.012273494805362807, 0.030263124222752666, -0.0003096590097910676, 0.03265870865728392), Parent_PIDs = (111, 90), theta = 1.580278136166372, phi = 1.1855065613212377

pid = -11, p = (-0.7834061148670936, -2.28774586649782, 42.27353080411058, 42.342637060033184), Parent_PIDs = (-12, -3), theta = 0.05714046938399782, phi = 4.382468686357205
pid = -211, p = (-0.17132518113814266, 0.13358502354267282, 5.877852715754711, 5.883521871227467), Parent_PIDs = (1, -4), theta = 0.03694384755279224, phi = 2.4793428169284484
